name,firstShipDateOrigin,firstShipDate,endOfPremiumSupport,endOfLimitedSupport,LTS
2025.q4,https://releases-cdn.liferay.com/dxp/2025.q4.0/release.properties,2025-11-26,2026-11-25,N/A,false
2025.q3,https://releases-cdn.liferay.com/dxp/2025.q3.0/release.properties,2025-09-03,2026-09-02,N/A,false
2025.q2,https://releases-cdn.liferay.com/dxp/2025.q2.0/release.properties,2025-05-28,2026-05-27,N/A,false
2025.q1,https://releases-cdn.liferay.com/dxp/2025.q1.0-lts/release.properties,2025-02-19,2028-02-18,2030-02-18,true
2024.q4,https://releases-cdn.liferay.com/dxp/2024.q4.0/release.properties,2024-12-11,2025-12-10,N/A,false
2024.q3,https://releases-cdn.liferay.com/dxp/2024.q3.0/release.properties,2024-09-12,2025-09-11,N/A,false
2024.q2,https://releases-cdn.liferay.com/dxp/2024.q2.0/release.properties,2024-06-12,2025-06-11,N/A,false
2024.q1,https://releases-cdn.liferay.com/dxp/2024.q1.1/release.properties,2024-03-13,2027-03-12,2029-03-12,true
2023.q4,https://releases-cdn.liferay.com/dxp/2023.q4.0/release.properties,2023-12-06,2024-12-05,N/A,false
2023.q3,https://releases-cdn.liferay.com/dxp/2023.q3.1/release.properties,2023-10-18,2024-10-17,N/A,false
